sentence, entity type + position
One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.,"[[0, 30, 'CARDINAL'], [70, 78, 'GPE'], [82, 86, 'DATE']]"
One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.,"[[0, 30, 'CARDINAL'], [70, 78, 'GPE'], [82, 86, 'DATE']]"
One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.,"[[0, 30, 'CARDINAL'], [70, 78, 'GPE'], [82, 86, 'DATE']]"
Half a million children still face malnutrition in Niger.,"[[0, 14, 'CARDINAL'], [51, 56, 'GPE']]"
Half a million children still face malnutrition in Niger.,"[[0, 14, 'CARDINAL'], [51, 56, 'GPE']]"
It will take five to ten years for the technology to be ready.,"[[13, 30, 'DATE']]"
The French government has launched an online game that challenges taxpayers to balance the national budget.,"[[4, 10, 'NORP']]"
What does it mean to have an educated mind in the 21st century?,"[[46, 62, 'DATE']]"
The train from Geneva will arrive at the station.,"[[15, 21, 'GPE']]"
Do you have friends in Antigua?,"[[23, 30, 'GPE']]"
A cubic meter corresponds to 1000 liters.,"[[0, 13, 'QUANTITY'], [29, 40, 'QUANTITY']]"
A cubic meter corresponds to 1000 liters.,"[[0, 13, 'QUANTITY'], [29, 40, 'QUANTITY']]"
I have so much work that I will stay for one more hour.,"[[41, 54, 'TIME']]"
I am married and have two children.,"[[22, 25, 'CARDINAL']]"
I'd like to study in Paris.,"[[21, 26, 'GPE']]"
"In a dictionary like this one there should be at least two sentences with ""fridge"".","[[46, 58, 'CARDINAL']]"
A democrat is a free citizen who yields to the will of the majority.,"[[2, 10, 'NORP']]"
Rome wasn't built in a day.,"[[0, 4, 'GPE'], [21, 26, 'DATE']]"
Rome wasn't built in a day.,"[[0, 4, 'GPE'], [21, 26, 'DATE']]"
"Good morning, said Tom with a smile.","[[5, 12, 'TIME'], [19, 22, 'PERSON']]"
"Good morning, said Tom with a smile.","[[5, 12, 'TIME'], [19, 22, 'PERSON']]"
"Why does one say ""Good day"" when the day is not good?","[[33, 40, 'DATE']]"
I don't understand German.,"[[19, 25, 'LANGUAGE']]"
We have a Pope.,"[[10, 14, 'PERSON']]"
Mathematicians are like French people: whatever you tell them they translate it into their own language and turn it into something totally different.,"[[24, 30, 'NORP']]"
"There are 10 types of people in the world: those who understand binary, and those who don't.","[[10, 12, 'CARDINAL']]"
"I accept, but only under one condition.","[[25, 28, 'CARDINAL']]"
At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.,"[[3, 17, 'DATE']]"
I can't take it anymore! I haven't slept for three days!,"[[45, 55, 'DATE']]"
"Hey, look, a three-headed monkey!","[[13, 18, 'CARDINAL']]"
"If you know that something unpleasant will happen, that you will go to the dentist for example, or to France, then that is not good.","[[102, 108, 'GPE']]"
"Half an eye is very useful actually, because an animal can see half of another animal, which wants to eat it, and can get out of the way, and it will eat the animal, which has only one-half eye or only 49% of an eye, because this to it will not be enough, and the animal, which was eaten up, will have no children, because it is dead.","[[0, 4, 'CARDINAL'], [63, 67, 'CARDINAL'], [176, 189, 'CARDINAL'], [197, 205, 'PERCENT']]"
"Half an eye is very useful actually, because an animal can see half of another animal, which wants to eat it, and can get out of the way, and it will eat the animal, which has only one-half eye or only 49% of an eye, because this to it will not be enough, and the animal, which was eaten up, will have no children, because it is dead.","[[0, 4, 'CARDINAL'], [63, 67, 'CARDINAL'], [176, 189, 'CARDINAL'], [197, 205, 'PERCENT']]"
"Half an eye is very useful actually, because an animal can see half of another animal, which wants to eat it, and can get out of the way, and it will eat the animal, which has only one-half eye or only 49% of an eye, because this to it will not be enough, and the animal, which was eaten up, will have no children, because it is dead.","[[0, 4, 'CARDINAL'], [63, 67, 'CARDINAL'], [176, 189, 'CARDINAL'], [197, 205, 'PERCENT']]"
"Half an eye is very useful actually, because an animal can see half of another animal, which wants to eat it, and can get out of the way, and it will eat the animal, which has only one-half eye or only 49% of an eye, because this to it will not be enough, and the animal, which was eaten up, will have no children, because it is dead.","[[0, 4, 'CARDINAL'], [63, 67, 'CARDINAL'], [176, 189, 'CARDINAL'], [197, 205, 'PERCENT']]"
"If two men always have the same opinion, one of them is unnecessary.","[[3, 6, 'CARDINAL'], [41, 44, 'CARDINAL']]"
"If two men always have the same opinion, one of them is unnecessary.","[[3, 6, 'CARDINAL'], [41, 44, 'CARDINAL']]"
"Tomorrow, I'm going to study at the library.","[[0, 8, 'DATE']]"
I went to the zoo yesterday.,"[[18, 27, 'DATE']]"
I watched TV this morning.,"[[13, 25, 'TIME']]"
I started learning Chinese last week.,"[[19, 26, 'LANGUAGE'], [27, 36, 'DATE']]"
I started learning Chinese last week.,"[[19, 26, 'LANGUAGE'], [27, 36, 'DATE']]"
We went to London last year.,"[[11, 17, 'GPE'], [18, 27, 'DATE']]"
We went to London last year.,"[[11, 17, 'GPE'], [18, 27, 'DATE']]"
"Denying she was an anarchist, Katja maintained she wished only to make changes in our government, not to destroy it.","[[30, 35, 'PERSON']]"
"David has a keen interest in aesthetics — the qualities that make a painting, sculpture, musical composition, or poem pleasing to the eye, ear, or mind.","[[0, 5, 'PERSON']]"
"Despite Trang's constant affirmations of love, Spenser is still afraid someday she will fall out of love with him.","[[8, 13, 'PERSON'], [47, 54, 'PERSON']]"
"Despite Trang's constant affirmations of love, Spenser is still afraid someday she will fall out of love with him.","[[8, 13, 'PERSON'], [47, 54, 'PERSON']]"
The private colleges and universities of the United States are autonomous.,"[[41, 58, 'GPE']]"
"Every time I join a new game of Warcraft, I am pitted against a new team of adversaries.","[[32, 40, 'PRODUCT']]"
Sarah was discerning enough to realize that her friends were trying to prank her.,"[[0, 5, 'PERSON']]"
The discrepancy between the stories of the two parties involved in the accident was so great that the authorities had a hard time deciding which side was telling the truth.,"[[43, 46, 'CARDINAL']]"
Ms. Eichler had a notorious reputation for being austere to her students.,"[[4, 11, 'PERSON']]"
Spenser's sarcastic and joking remarks are often misinterpreted as signs of ambivalence and often taken too seriously.,"[[0, 7, 'PERSON']]"
I consider the Jehovah's witnesses who knock on my door all the time to be no different from religious zealots trying to force their beliefs on me.,"[[15, 22, 'PERSON']]"
The war on Iraq is a volatile subject of political debate; any wrong word and a heated argument could spark.,"[[11, 15, 'GPE']]"
Sven was so verbose that his friends resorted to calling him a chatterbox.,"[[0, 4, 'PERSON']]"
Even people who don't believe in the Catholic church venerate the Pope as a symbolic leader.,"[[37, 45, 'NORP'], [66, 70, 'PERSON']]"
Even people who don't believe in the Catholic church venerate the Pope as a symbolic leader.,"[[37, 45, 'NORP'], [66, 70, 'PERSON']]"
The recent scandals involving altar boys and religious leaders have undermined the faith people have in the Church.,"[[108, 114, 'ORG']]"
"Though his stay in Europe was transient, Spenser felt he had learned much more about interactions with other people from traveling than he did at college.","[[19, 25, 'LOC'], [41, 48, 'PERSON']]"
"Though his stay in Europe was transient, Spenser felt he had learned much more about interactions with other people from traveling than he did at college.","[[19, 25, 'LOC'], [41, 48, 'PERSON']]"
"Jason was a taciturn individual, so it was always a real surprise when he said anything.","[[0, 5, 'PERSON']]"
Spenser would not tell anyone his surreptitious plan to get back at his friends for pranking him.,"[[0, 7, 'PERSON']]"
"If Spenser doesn't keep adding and translating sentences, the other contributors will surely surpass him.","[[3, 10, 'PERSON']]"
The people who come on the Maury Povich show often make pretentious claims about their lovers cheating on them.,"[[27, 39, 'ORG']]"
"It is a prevalent belief, according to a nationwide poll in the United States, that Muslims are linked with terrorism.","[[60, 77, 'GPE'], [84, 91, 'NORP']]"
"It is a prevalent belief, according to a nationwide poll in the United States, that Muslims are linked with terrorism.","[[60, 77, 'GPE'], [84, 91, 'NORP']]"
"My roommate is prodigal when it comes to spending money on movies; he buys them the day they're released, regardless of price.","[[80, 87, 'DATE']]"
Freud's insights into human behavior led to him being honored as a profound thinker.,"[[0, 5, 'PERSON']]"
"My friends say I'm a prolific writer, but I haven't written anything for months.","[[73, 79, 'DATE']]"
"When both girls told John they had feelings for him, he was in a quandary as to which girl he should be with.","[[21, 25, 'PERSON']]"
"Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union.","[[27, 39, 'EVENT'], [80, 88, 'NORP'], [97, 104, 'NORP'], [143, 159, 'GPE']]"
"Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union.","[[27, 39, 'EVENT'], [80, 88, 'NORP'], [97, 104, 'NORP'], [143, 159, 'GPE']]"
"Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union.","[[27, 39, 'EVENT'], [80, 88, 'NORP'], [97, 104, 'NORP'], [143, 159, 'GPE']]"
"Even now, many years after the Cold War, there is still much rancor between the Russians and the Germans, especially in areas once occupied by the Soviet Union.","[[27, 39, 'EVENT'], [80, 88, 'NORP'], [97, 104, 'NORP'], [143, 159, 'GPE']]"
Johnson is a recluse; he prefers to isolate himself from the rest of the students in our class.,"[[0, 7, 'PERSON']]"
The guild leader relegated Vince to a lesser officer because he was abusing his power.,"[[27, 32, 'PERSON']]"
Joan of Arc refused to renounce her belief that the voice she heard was from God and none other.,"[[0, 11, 'PERSON']]"
"Shocked by the events of September 11th, politicians all over the world condemned the terrorists for their reprehensible deed.","[[25, 39, 'DATE']]"
James had a great fear of making mistakes in class and being reprimanded.,"[[0, 5, 'PERSON']]"
"In order to keep his original idea from being copied, Henry resorted to reticence.","[[54, 59, 'PERSON']]"
Tim is a huge fan of satirical comedy.,"[[0, 3, 'PERSON']]"
"Though Alfred is scrupulous in fulfilling his duties at work, he is less conscientious about his obligations at home.","[[7, 13, 'PERSON']]"
Spenser's mother often scrutinizes him for every small mistake he makes.,"[[0, 7, 'PERSON']]"
"Peter was an altruistic video game player; he would give items to people who needed them, rather than selling them for personal profit.","[[0, 5, 'PERSON']]"
Jimmy tried to cajole his parents into letting him drive across the country with his friends.,"[[0, 5, 'PERSON']]"
Bill Clinton spoke in ambiguous language when asked to describe his relationship with Monica Lewinsky.,"[[0, 12, 'PERSON'], [86, 101, 'PERSON']]"
Bill Clinton spoke in ambiguous language when asked to describe his relationship with Monica Lewinsky.,"[[0, 12, 'PERSON'], [86, 101, 'PERSON']]"
The statue of the Minute Man commemorates the valiant soldiers who fought in the Revolutionary War.,"[[14, 28, 'WORK_OF_ART'], [77, 98, 'EVENT']]"
The statue of the Minute Man commemorates the valiant soldiers who fought in the Revolutionary War.,"[[14, 28, 'WORK_OF_ART'], [77, 98, 'EVENT']]"
"Baffled by Sherlock Holmes' cryptic remarks, Watson wondered whether Holmes was intentionally concealing his thoughts about the crime.","[[11, 27, 'PERSON'], [45, 51, 'PERSON'], [69, 75, 'PERSON']]"
"Baffled by Sherlock Holmes' cryptic remarks, Watson wondered whether Holmes was intentionally concealing his thoughts about the crime.","[[11, 27, 'PERSON'], [45, 51, 'PERSON'], [69, 75, 'PERSON']]"
"Baffled by Sherlock Holmes' cryptic remarks, Watson wondered whether Holmes was intentionally concealing his thoughts about the crime.","[[11, 27, 'PERSON'], [45, 51, 'PERSON'], [69, 75, 'PERSON']]"
I cannot dance one single step of Salsa.,"[[15, 18, 'CARDINAL']]"
"Ray was willing to corroborate Gary's story, but the police were still unconvinced that either of them were telling the truth.","[[0, 3, 'PERSON'], [31, 35, 'PERSON']]"
"Ray was willing to corroborate Gary's story, but the police were still unconvinced that either of them were telling the truth.","[[0, 3, 'PERSON'], [31, 35, 'PERSON']]"
This day was just a waste of time and money.,"[[0, 8, 'DATE']]"
"Come on! Talk to me, Trang.","[[21, 26, 'PERSON']]"
"During summer breaks, I ate dinner at midnight.","[[7, 13, 'DATE'], [38, 46, 'TIME']]"
"During summer breaks, I ate dinner at midnight.","[[7, 13, 'DATE'], [38, 46, 'TIME']]"
"It's just five in the morning, but nevertheless it is light out.","[[10, 29, 'TIME']]"
I have class tomorrow.,"[[13, 21, 'DATE']]"
The data suggest that the optimum length of a lecture may be 30 instead of 60 minutes.,"[[61, 85, 'TIME']]"
I spent twelve hours on the train.,"[[8, 20, 'TIME']]"
She got sick this weekend.,"[[13, 25, 'DATE']]"
Smith has spent years studying the effects of sleep and sleep loss on memory and learning.,"[[0, 5, 'PERSON'], [16, 21, 'DATE']]"
Smith has spent years studying the effects of sleep and sleep loss on memory and learning.,"[[0, 5, 'PERSON'], [16, 21, 'DATE']]"
My mother bought two bottles of orange juice.,"[[17, 20, 'CARDINAL']]"
"If you lend someone $20 and never see that person again, it was probably worth it.","[[21, 23, 'MONEY']]"
I have French nationality but Vietnamese origins.,"[[7, 13, 'NORP'], [30, 40, 'NORP']]"
I have French nationality but Vietnamese origins.,"[[7, 13, 'NORP'], [30, 40, 'NORP']]"
Do you think mankind will someday colonize the Moon?,"[[47, 51, 'LOC']]"
"At this rate, we're not likely to be done before the end of the week.","[[49, 68, 'DATE']]"
"No, I cannot let you in, there's one person too many.","[[33, 36, 'CARDINAL']]"
He's got a face like a month of wet Sundays.,"[[21, 43, 'DATE']]"
"The day before yesterday you impressed everyone, but I already knew you.","[[0, 24, 'DATE']]"
"When I was your age, Pluto was a planet.","[[21, 26, 'LOC']]"
Elephants are the largest land animals alive today.,"[[45, 50, 'DATE']]"
"I still don't like Cavalieri, Tonelli, or Fubini... and my oral calculus exam is already tomorrow.","[[19, 28, 'PERSON'], [30, 37, 'PERSON'], [42, 48, 'PERSON'], [89, 97, 'DATE']]"
"I still don't like Cavalieri, Tonelli, or Fubini... and my oral calculus exam is already tomorrow.","[[19, 28, 'PERSON'], [30, 37, 'PERSON'], [42, 48, 'PERSON'], [89, 97, 'DATE']]"
"I still don't like Cavalieri, Tonelli, or Fubini... and my oral calculus exam is already tomorrow.","[[19, 28, 'PERSON'], [30, 37, 'PERSON'], [42, 48, 'PERSON'], [89, 97, 'DATE']]"
"I still don't like Cavalieri, Tonelli, or Fubini... and my oral calculus exam is already tomorrow.","[[19, 28, 'PERSON'], [30, 37, 'PERSON'], [42, 48, 'PERSON'], [89, 97, 'DATE']]"
He spent the evening reading a book.,"[[9, 20, 'TIME']]"
Good night. Sweet dreams.,"[[0, 10, 'TIME']]"
Everyone deserves a second chance.,"[[20, 26, 'ORDINAL']]"
The headline caught my eye this morning.,"[[27, 39, 'TIME']]"
Gonzales offers a bike to all his employees in Europe.,"[[0, 8, 'PERSON'], [47, 53, 'LOC']]"
Gonzales offers a bike to all his employees in Europe.,"[[0, 8, 'PERSON'], [47, 53, 'LOC']]"
There are 1000 movies that one must watch before dying.,"[[10, 14, 'CARDINAL']]"
"The seven questions that an engineer has to ask himself are: who, what, when, where, why, how and how much.","[[4, 9, 'CARDINAL']]"
I suggest that we go out on Friday.,"[[28, 34, 'DATE']]"
That way I kill two birds with one stone.,"[[16, 19, 'CARDINAL'], [31, 34, 'CARDINAL']]"
That way I kill two birds with one stone.,"[[16, 19, 'CARDINAL'], [31, 34, 'CARDINAL']]"
How much do you leave for a tip in Spain?,"[[35, 40, 'GPE']]"
"At this hour, there is incredible traffic.","[[3, 12, 'TIME']]"
He's Argentinean and he gives tennis lessons.,"[[5, 16, 'NORP']]"
I am four months pregnant.,"[[5, 16, 'DATE']]"
More than 90 percent of visits to a web page are from search engines.,"[[0, 20, 'PERCENT']]"
Where is your twenty? I'll give you five bucks for it.,"[[14, 20, 'CARDINAL'], [36, 46, 'MONEY']]"
Where is your twenty? I'll give you five bucks for it.,"[[14, 20, 'CARDINAL'], [36, 46, 'MONEY']]"
Sometimes Spenser cares so much about Trang that he leads her to believe he is being overprotective.,"[[10, 17, 'PERSON'], [38, 43, 'PERSON']]"
Sometimes Spenser cares so much about Trang that he leads her to believe he is being overprotective.,"[[10, 17, 'PERSON'], [38, 43, 'PERSON']]"
"As he sits in the dark, typing away at his computer, he hears the sound of morning birds chirping away and realizes he has been up all night - but the insomniac still refuses to sleep.","[[131, 140, 'TIME']]"
The functions sine and cosine take values between -1 and 1 (-1 and 1 included).,"[[57, 58, 'CARDINAL'], [67, 68, 'CARDINAL']]"
The functions sine and cosine take values between -1 and 1 (-1 and 1 included).,"[[57, 58, 'CARDINAL'], [67, 68, 'CARDINAL']]"
The second half of a man's life is made up of nothing but the habits he has acquired during the first half.,"[[4, 10, 'ORDINAL'], [11, 15, 'CARDINAL'], [92, 106, 'DATE']]"
The second half of a man's life is made up of nothing but the habits he has acquired during the first half.,"[[4, 10, 'ORDINAL'], [11, 15, 'CARDINAL'], [92, 106, 'DATE']]"
The second half of a man's life is made up of nothing but the habits he has acquired during the first half.,"[[4, 10, 'ORDINAL'], [11, 15, 'CARDINAL'], [92, 106, 'DATE']]"
"On May 18, a young Japanese couple was arrested after their one-year-old baby was found wrapped in a plastic bag and dumped in a gutter.","[[3, 9, 'DATE'], [19, 27, 'NORP'], [60, 72, 'DATE']]"
"On May 18, a young Japanese couple was arrested after their one-year-old baby was found wrapped in a plastic bag and dumped in a gutter.","[[3, 9, 'DATE'], [19, 27, 'NORP'], [60, 72, 'DATE']]"
"On May 18, a young Japanese couple was arrested after their one-year-old baby was found wrapped in a plastic bag and dumped in a gutter.","[[3, 9, 'DATE'], [19, 27, 'NORP'], [60, 72, 'DATE']]"
The scientific theory I like the best is that the rings of Saturn are composed entirely of lost luggage.,"[[59, 65, 'PRODUCT']]"
The only way on Earth to multiply happiness is to divide it.,"[[16, 21, 'LOC']]"
There is no distance on this earth as far away as yesterday.,"[[50, 59, 'DATE']]"
We can travel through time. And we do at the remarkable rate of one second per second.,"[[64, 74, 'CARDINAL']]"
"Japan is full of beautiful cities. Kyoto and Nara, for instance.","[[0, 5, 'GPE'], [35, 40, 'GPE'], [45, 49, 'GPE']]"
"Japan is full of beautiful cities. Kyoto and Nara, for instance.","[[0, 5, 'GPE'], [35, 40, 'GPE'], [45, 49, 'GPE']]"
"Japan is full of beautiful cities. Kyoto and Nara, for instance.","[[0, 5, 'GPE'], [35, 40, 'GPE'], [45, 49, 'GPE']]"
"Since Mario lied to me, I don't speak to him anymore.","[[6, 11, 'PERSON']]"
Fifty-two per cent of British women prefer chocolate to sex.,"[[0, 18, 'PERCENT'], [22, 29, 'NORP']]"
Fifty-two per cent of British women prefer chocolate to sex.,"[[0, 18, 'PERCENT'], [22, 29, 'NORP']]"
Why do you want to leave today?,"[[25, 30, 'DATE']]"
Cole's Axiom: The sum of the intelligence on the planet is a constant; the population is growing.,"[[0, 4, 'PRODUCT'], [7, 12, 'PRODUCT']]"
Cole's Axiom: The sum of the intelligence on the planet is a constant; the population is growing.,"[[0, 4, 'PRODUCT'], [7, 12, 'PRODUCT']]"
People will accept your idea much more readily if you tell them Benjamin Franklin said it first.,"[[64, 81, 'PERSON'], [90, 95, 'ORDINAL']]"
People will accept your idea much more readily if you tell them Benjamin Franklin said it first.,"[[64, 81, 'PERSON'], [90, 95, 'ORDINAL']]"
"In business today, too many executives spend money they haven't earned, to buy things they don't need, to impress people they don't even like.","[[12, 17, 'DATE']]"
"In general, little is known about nonlinear second order differential equations.","[[44, 50, 'ORDINAL']]"
Mali is one of the poorest countries in Subsaharan Africa.,"[[0, 4, 'GPE'], [8, 11, 'CARDINAL'], [40, 57, 'GPE']]"
Mali is one of the poorest countries in Subsaharan Africa.,"[[0, 4, 'GPE'], [8, 11, 'CARDINAL'], [40, 57, 'GPE']]"
Mali is one of the poorest countries in Subsaharan Africa.,"[[0, 4, 'GPE'], [8, 11, 'CARDINAL'], [40, 57, 'GPE']]"
Why are you telling me about hippos all of the sudden? I don't see the connection between that and your twelve red goldfishes.,"[[104, 110, 'CARDINAL']]"
I have to give back the book before Saturday.,"[[36, 44, 'DATE']]"
Yesterday we had fun.,"[[0, 9, 'DATE']]"
Muiriel likes to annoy me lately.,"[[0, 7, 'PERSON']]"
Florence is the most beautiful city in Italy.,"[[0, 8, 'GPE'], [39, 44, 'GPE']]"
Florence is the most beautiful city in Italy.,"[[0, 8, 'GPE'], [39, 44, 'GPE']]"
The film started at 2 o'clock.,"[[20, 29, 'TIME']]"
The film lasted 2 hours.,"[[16, 23, 'TIME']]"
He told me he would go to Venice.,"[[26, 32, 'GPE']]"
Ask Trang if he's going out this evening.,"[[4, 9, 'PERSON'], [28, 40, 'TIME']]"
Ask Trang if he's going out this evening.,"[[4, 9, 'PERSON'], [28, 40, 'TIME']]"
"Ah! If I were rich, I'd buy myself a house in Spain.","[[46, 51, 'GPE']]"
"Water freezes at zero degrees Celsius, doesn't it?","[[17, 37, 'QUANTITY']]"
We're going to eat a lot tonight so I hope you're not on a diet.,"[[25, 32, 'TIME']]"
Brian repeatedly told Chris that he owed him a pretty large amount of money.,"[[0, 5, 'PERSON'], [22, 27, 'PERSON']]"
Brian repeatedly told Chris that he owed him a pretty large amount of money.,"[[0, 5, 'PERSON'], [22, 27, 'PERSON']]"
Maria has long hair.,"[[0, 5, 'PERSON']]"
You don't have to come tomorrow.,"[[23, 31, 'DATE']]"
Nara is a quiet and beautiful city.,"[[0, 4, 'GPE']]"
I work even on Sunday.,"[[15, 21, 'DATE']]"
It happened a long time ago.,"[[12, 27, 'DATE']]"
It's been snowing all night.,"[[18, 27, 'TIME']]"
It's been ten years since we last met.,"[[10, 19, 'DATE']]"
How come you know so much about Japanese history?,"[[32, 40, 'NORP']]"
"He was born on July 28th, 1888.","[[15, 30, 'DATE']]"
Will you listen to me for a few minutes?,"[[26, 39, 'TIME']]"
During winter I sleep with two blankets.,"[[7, 13, 'DATE'], [27, 30, 'CARDINAL']]"
During winter I sleep with two blankets.,"[[7, 13, 'DATE'], [27, 30, 'CARDINAL']]"
Have you ever climbed Mt. Fuji?,"[[22, 30, 'LOC']]"
You have to learn standard English.,"[[27, 34, 'LANGUAGE']]"
You look tired. You ought to rest for an hour or two.,"[[38, 45, 'TIME'], [49, 52, 'CARDINAL']]"
You look tired. You ought to rest for an hour or two.,"[[38, 45, 'TIME'], [49, 52, 'CARDINAL']]"
Just a minute.,"[[0, 13, 'TIME']]"
You told her that you had finished the work three days before.,"[[44, 61, 'DATE']]"
Didn't you know that he passed away two years ago?,"[[36, 49, 'DATE']]"
Don't you know that he passed away two years ago?,"[[35, 48, 'DATE']]"
Don't you know that he has been dead for these two years?,"[[41, 56, 'DATE']]"
Must you work on Sunday?,"[[17, 23, 'DATE']]"
You don't have to go to school on Sunday.,"[[34, 40, 'DATE']]"
