sentence, entity type + position
I guess my view on friendship is pretty bleak because I've never really had to rely on anyone for anything.,"[[54, 58, 'MISC']]"
What?! You ate my chocolate bear?!,"[[0, 10, 'MISC']]"
He's got a face like a month of wet Sundays.,"[[36, 44, 'LOC']]"
"Life is not long, it is wide!","[[0, 4, 'PER']]"
"When I was your age, Pluto was a planet.","[[21, 26, 'LOC']]"
Elephants are the largest land animals alive today.,"[[0, 9, 'LOC']]"
"I still don't like Cavalieri, Tonelli, or Fubini... and my oral calculus exam is already tomorrow.","[[19, 28, 'LOC'], [42, 51, 'MISC']]"
"I still don't like Cavalieri, Tonelli, or Fubini... and my oral calculus exam is already tomorrow.","[[19, 28, 'LOC'], [42, 51, 'MISC']]"
Gonzales offers a bike to all his employees in Europe.,"[[47, 53, 'LOC']]"
Check that your username and password are written correctly.,"[[0, 5, 'PER']]"
Goodbyes are always sad.,"[[0, 8, 'MISC']]"
Time has passed very fast.,"[[0, 4, 'ORG']]"
How much do you leave for a tip in Spain?,"[[35, 41, 'LOC']]"
Who painted this painting?,"[[0, 3, 'ORG']]"
Aren't you ashamed to talk like that?,"[[0, 6, 'PER']]"
He's Argentinean and he gives tennis lessons.,"[[0, 16, 'MISC']]"
Sometimes Spenser cares so much about Trang that he leads her to believe he is being overprotective.,"[[10, 17, 'PER'], [38, 43, 'LOC']]"
Sometimes Spenser cares so much about Trang that he leads her to believe he is being overprotective.,"[[10, 17, 'PER'], [38, 43, 'LOC']]"
Can I stay at your place? I have nowhere to go.,"[[0, 5, 'PER']]"
"On May 18, a young Japanese couple was arrested after their one-year-old baby was found wrapped in a plastic bag and dumped in a gutter.","[[19, 27, 'MISC']]"
The scientific theory I like the best is that the rings of Saturn are composed entirely of lost luggage.,"[[59, 65, 'MISC']]"
The only way on Earth to multiply happiness is to divide it.,"[[16, 21, 'MISC']]"
"Life is not an exact science, it is an art.","[[0, 4, 'PER']]"
"Boredom is the feeling that everything is a waste of time; serenity, that nothing is.","[[0, 7, 'MISC']]"
My interest is in the future because I'm going to spend the rest of my life there.,"[[37, 40, 'MISC']]"
Hope is not a strategy.,"[[0, 4, 'PER']]"
"Japan is full of beautiful cities. Kyoto and Nara, for instance.","[[0, 5, 'LOC'], [35, 40, 'LOC'], [45, 49, 'LOC']]"
"Japan is full of beautiful cities. Kyoto and Nara, for instance.","[[0, 5, 'LOC'], [35, 40, 'LOC'], [45, 49, 'LOC']]"
"Japan is full of beautiful cities. Kyoto and Nara, for instance.","[[0, 5, 'LOC'], [35, 40, 'LOC'], [45, 49, 'LOC']]"
Whose is this?,"[[0, 5, 'LOC']]"
"Since Mario lied to me, I don't speak to him anymore.","[[6, 11, 'PER']]"
Fifty-two per cent of British women prefer chocolate to sex.,"[[22, 29, 'MISC']]"
Cole's Axiom: The sum of the intelligence on the planet is a constant; the population is growing.,"[[0, 17, 'LOC']]"
People will accept your idea much more readily if you tell them Benjamin Franklin said it first.,"[[64, 81, 'PER']]"
Teach me how you do it.,"[[0, 5, 'PER']]"
Enjoy your meal!,"[[0, 5, 'PER']]"
Mali is one of the poorest countries in Subsaharan Africa.,"[[0, 4, 'LOC'], [40, 57, 'LOC']]"
Mali is one of the poorest countries in Subsaharan Africa.,"[[0, 4, 'LOC'], [40, 57, 'LOC']]"
I have to give back the book before Saturday.,"[[36, 45, 'MISC']]"
Yesterday we had fun.,"[[0, 9, 'MISC']]"
"I'm sorry, I don't have change.","[[11, 18, 'MISC']]"
Florence is the most beautiful city in Italy.,"[[0, 8, 'LOC'], [39, 45, 'LOC']]"
Florence is the most beautiful city in Italy.,"[[0, 8, 'LOC'], [39, 45, 'LOC']]"
He told me he would go to Venice.,"[[26, 33, 'LOC']]"
I don't know if I'll have time to do it.,"[[16, 20, 'ORG']]"
Ask Trang if he's going out this evening.,"[[0, 9, 'LOC']]"
Who said that? It's totally wrong!,"[[0, 3, 'ORG']]"
"Ah! If I were rich, I'd buy myself a house in Spain.","[[0, 8, 'MISC'], [20, 23, 'PER'], [46, 52, 'LOC']]"
"Ah! If I were rich, I'd buy myself a house in Spain.","[[0, 8, 'MISC'], [20, 23, 'PER'], [46, 52, 'LOC']]"
"Ah! If I were rich, I'd buy myself a house in Spain.","[[0, 8, 'MISC'], [20, 23, 'PER'], [46, 52, 'LOC']]"
"Water freezes at zero degrees Celsius, doesn't it?","[[30, 37, 'PER']]"
Forget it. It's not worth it.,"[[0, 6, 'PER']]"
We're going to eat a lot tonight so I hope you're not on a diet.,"[[0, 5, 'MISC']]"
Brian repeatedly told Chris that he owed him a pretty large amount of money.,"[[0, 5, 'PER'], [22, 27, 'PER']]"
Brian repeatedly told Chris that he owed him a pretty large amount of money.,"[[0, 5, 'PER'], [22, 27, 'PER']]"
Maria has long hair.,"[[0, 5, 'PER']]"
Nara is a quiet and beautiful city.,"[[0, 4, 'LOC']]"
How come you know so much about Japanese history?,"[[32, 40, 'MISC']]"
I buried my dog at the pet cemetery.,"[[23, 36, 'LOC']]"
You shouldn't do things by halves.,"[[27, 34, 'PER']]"
You must keep your room clean.,"[[24, 30, 'PER']]"
Have you ever climbed Mt. Fuji?,"[[22, 31, 'MISC']]"
You have to learn standard English.,"[[27, 35, 'MISC']]"
Are you a Japanese student?,"[[10, 18, 'MISC']]"
You had better study English thoroughly.,"[[21, 28, 'MISC']]"
Can you tell wheat from barley?,"[[0, 3, 'ORG']]"
You know quite a lot about Sumo.,"[[27, 32, 'PER']]"
Can't you tell right from wrong?,"[[0, 32, 'MISC']]"
You should swear on the Bible.,"[[24, 30, 'LOC']]"
Can you eat raw oysters?,"[[0, 3, 'ORG']]"
Do you believe in God?,"[[18, 22, 'MISC']]"
You must do as I tell you.,"[[15, 26, 'MISC']]"
You are to do as I tell you.,"[[17, 28, 'MISC']]"
You'd better knuckle down to work.,"[[0, 5, 'PER']]"
You work too hard these days. Aren't you tired?,"[[30, 36, 'PER']]"
You'd better not go out today.,"[[0, 5, 'PER']]"
Can you get by on your wages?,"[[0, 3, 'ORG']]"
You'd better start now.,"[[0, 5, 'PER']]"
You'd better not go.,"[[0, 5, 'PER']]"
You do your part and I'll do the rest.,"[[21, 25, 'LOC']]"
Have you ever been to Kyushu?,"[[22, 29, 'LOC']]"
You'd better hurry up.,"[[0, 5, 'PER']]"
Do you know who Rie Miyazawa is?,"[[16, 28, 'PER']]"
Clear up your desk a bit.,"[[0, 5, 'PER']]"
Have you ever read any Chinese poems?,"[[23, 30, 'MISC']]"
Are you not able to speak English?,"[[26, 34, 'MISC']]"
Do you study English?,"[[13, 21, 'MISC']]"
Did you try to review the English lessons?,"[[26, 33, 'MISC']]"
Can you make yourself understood in English?,"[[36, 44, 'MISC']]"
"You can't speak English, can you?","[[16, 23, 'MISC']]"
He asked me if I could speak English.,"[[29, 37, 'MISC']]"
"You can speak English well, can you not?","[[14, 21, 'MISC']]"
Can you swim?,"[[0, 3, 'ORG']]"
You'd better consult the doctor.,"[[0, 5, 'PER']]"
You must rid yourself of bad habits.,"[[25, 36, 'LOC']]"
How many days will you remain in London?,"[[33, 40, 'LOC']]"
You'd better try to assert yourself more.,"[[0, 5, 'PER']]"
Do you like Mozart's music?,"[[12, 20, 'PER']]"
You will not take Bob's advice.,"[[18, 23, 'PER']]"
Are you planning on staying long in Berlin?,"[[36, 43, 'LOC']]"
Can you speak French?,"[[14, 21, 'MISC']]"
"You can't speak French, can you?","[[16, 22, 'MISC']]"
You failed to wake Harry up.,"[[19, 24, 'MISC']]"
You'd better go by bus.,"[[0, 5, 'PER']]"
It appears that you have made a foolish mistake.,"[[32, 48, 'PER']]"
"You say Nessie is an imaginary being, but I think she exists.","[[8, 14, 'LOC']]"
How long have you been in Japan?,"[[26, 32, 'LOC']]"
You can always count on Tom.,"[[24, 28, 'PER']]"
"You're a friend of Tom's, eh?","[[19, 29, 'MISC']]"
"You don't know German, do you?","[[15, 21, 'MISC']]"
You'd better go home as soon as possible.,"[[0, 5, 'PER']]"
You'd better not go there.,"[[0, 5, 'PER']]"
You'd better have your hair cut at once.,"[[0, 5, 'PER']]"
You'd better set off at once.,"[[0, 5, 'PER']]"
You'd better go to see your family doctor at once.,"[[0, 5, 'PER']]"
You may have mistaken Jane for his sister.,"[[22, 26, 'PER']]"
You'd better stay at home rather than go out on such a day.,"[[0, 5, 'PER']]"
"You'll have this composition written by noon tomorrow, won't you?","[[55, 65, 'PER']]"
Can you read this kanji?,"[[0, 3, 'ORG']]"
Can you get at the meaning of this passage?,"[[0, 3, 'ORG']]"
You'd better not wait here.,"[[0, 5, 'PER']]"
How long did it take you to drive from here to Tokyo?,"[[47, 53, 'LOC']]"
Where are you from in Canada?,"[[22, 29, 'LOC']]"
You should apologize to Dad for not coming home in time for supper.,"[[24, 27, 'PER']]"
Haven't you got any money?,"[[0, 7, 'PER']]"
Aren't you happy?,"[[0, 6, 'PER']]"
When did you come to Japan?,"[[21, 27, 'LOC']]"
When did you begin studying English?,"[[28, 36, 'MISC']]"
"How long have you been living in Kobe, then?","[[33, 44, 'LOC']]"
Have you ever been to America?,"[[22, 30, 'LOC']]"
You better brush up your English if you go to America.,"[[25, 32, 'MISC'], [46, 53, 'LOC']]"
You better brush up your English if you go to America.,"[[25, 32, 'MISC'], [46, 53, 'LOC']]"
When did you begin learning German?,"[[28, 35, 'MISC']]"
Your story doesn't corroborate what I've heard before.,"[[36, 40, 'PER']]"
When did your sister leave Tokyo for London?,"[[27, 32, 'LOC']]"
Check your answer with his.,"[[0, 5, 'PER']]"
Compare your answer with Tom's.,"[[25, 31, 'PER']]"
May I use your phone?,"[[0, 5, 'PER']]"
Bring your brother with you.,"[[0, 5, 'PER']]"
Your brother said you'd gone to Paris.,"[[32, 37, 'LOC']]"
Can I count on your loyalty?,"[[0, 5, 'PER']]"
Aren't you being very rude?,"[[0, 6, 'PER']]"
"Is this your son, Betty?","[[18, 24, 'PER']]"
"I can hear you, but I can't see you.","[[20, 36, 'MISC']]"
Your success depends on whether you pass the STEP examination or not.,"[[45, 49, 'MISC']]"
May I take your picture?,"[[0, 5, 'PER']]"
You have Jim to thank for your failure.,"[[9, 12, 'PER']]"
May I borrow your dictionary?,"[[0, 5, 'PER']]"
It is not my part to meddle in your affairs.,"[[21, 27, 'MISC']]"
Don't take it amiss if I criticize your work.,"[[23, 39, 'MISC']]"
Your English composition is above the average.,"[[5, 12, 'MISC']]"
Explain to him the difficult situation you are in.,"[[0, 7, 'LOC']]"
Express your idea clearly.,"[[0, 7, 'MISC']]"
"I admit that what you say is true, but I don't like the way you say it.","[[39, 71, 'MISC']]"
"While I accept what you say, I still think I'm right.","[[43, 53, 'MISC']]"
Aren't you pushing it too far?,"[[0, 6, 'PER']]"
Leave your desk as it is.,"[[0, 5, 'PER']]"
Can I use your pencil?,"[[0, 5, 'PER']]"
Your English composition leaves nothing to be desired.,"[[5, 12, 'MISC']]"
Your English leaves nothing to be desired.,"[[5, 12, 'MISC']]"
Your English is improving.,"[[5, 12, 'MISC']]"
Your English is perfect.,"[[5, 12, 'MISC']]"
I think your English has improved a lot.,"[[13, 20, 'MISC']]"
Your English has improved a lot.,"[[5, 12, 'MISC']]"
Your English has made gradual progress.,"[[5, 12, 'MISC']]"
You are now quite at home in English.,"[[29, 37, 'LOC']]"
Your method of teaching English is absurd.,"[[24, 31, 'MISC']]"
I'm amazed at your fluency in English.,"[[30, 38, 'LOC']]"
Can I use your pen?,"[[0, 5, 'PER']]"
"If I find your passport, I'll call you at once.","[[25, 47, 'MISC']]"
I'll give you a call before I visit you.,"[[28, 40, 'MISC']]"
"Thanks to you, the job went well.","[[19, 22, 'MISC']]"
I will dry your T-shirt.,"[[16, 24, 'LOC']]"
Your T-shirt will dry soon.,"[[0, 12, 'PER']]"
There's a phone call for you from Akemi.,"[[34, 40, 'LOC']]"
Didn't I lend you some books? I'm sure I did.,"[[0, 8, 'PER']]"
I refuse to be treated like a slave by you.,"[[39, 43, 'PER']]"
I want you to be the next Soseki.,"[[26, 33, 'PER']]"
Didn't I tell you so?,"[[0, 21, 'MISC']]"
"When you put it so strongly, I can't say I don't agree.","[[29, 40, 'MISC'], [41, 55, 'MISC']]"
"When you put it so strongly, I can't say I don't agree.","[[29, 40, 'MISC'], [41, 55, 'MISC']]"
You could get into the Guinness Book of World Records as the heaviest drinker.,"[[23, 53, 'MISC']]"
If only I could speak English as fluently as you!,"[[22, 29, 'MISC']]"
"I'd love to go with you to the show, but I'm flat broke.","[[41, 56, 'MISC']]"
"I'd like to go with you, but as it is I can't.","[[38, 46, 'MISC']]"
"Listen, um, I was wondering, what are you and Molly doing tonight?","[[46, 51, 'MISC']]"
He'll be sure to smell a rat if I'm with you.,"[[32, 35, 'MISC']]"
You are to hand in your assignments by Monday.,"[[39, 46, 'ORG']]"
All you have to do is to learn this sentence by heart.,"[[48, 54, 'PER']]"
There are merits and demerits to both your opinions so I'm not going to decide right away which to support.,"[[55, 58, 'MISC']]"
You are the man I've been looking for.,"[[16, 20, 'PER']]"
"If you're busy, I'll help you.","[[16, 30, 'MISC']]"
Imagine yourself to be in his place.,"[[0, 7, 'PER']]"
It's a pity that you should leave Japan.,"[[34, 39, 'LOC']]"
I'll take over your duties while you are away from Japan.,"[[51, 56, 'LOC']]"
I'm very happy you'll be visiting Tokyo next month.,"[[34, 39, 'LOC']]"
Well do I remember the day you were born.,"[[8, 30, 'MISC']]"
Can you account for all the money you spent?,"[[0, 3, 'ORG']]"
The picture you are looking at is a copy of a Picasso.,"[[46, 54, 'PER']]"
I hope you'll never turn Communist.,"[[25, 35, 'MISC']]"
"Whatever you say, I'll marry her.","[[18, 33, 'MISC']]"
"Whatever you may say, I don't believe you.","[[22, 42, 'MISC']]"
I can no more speak French than you can speak English.,"[[20, 26, 'MISC'], [46, 54, 'MISC']]"
I can no more speak French than you can speak English.,"[[20, 26, 'MISC'], [46, 54, 'MISC']]"
What is the main purpose of your studying English?,"[[42, 50, 'MISC']]"
"If you could only speak English, you would be perfect.","[[24, 36, 'MISC']]"
