sentence, entity type + position
Der Iran hat den USA den Krieg erklärt.,"[[4, 8, 'LOC'], [17, 20, 'LOC']]"
Wann wurde Amerika unabhängig von England?,"[[11, 18, 'LOC'], [34, 41, 'LOC']]"
Wann wurde Amerika unabhängig von England?,"[[11, 18, 'LOC'], [34, 41, 'LOC']]"
Amerikanische Küchen sind größer als japanische.,"[[0, 13, 'LOC'], [37, 47, 'LOC']]"
Amerikanische Küchen sind größer als japanische.,"[[0, 13, 'LOC'], [37, 47, 'LOC']]"
Welcher dieser Jungen ist Masao?,"[[26, 31, 'PER']]"
Ohne Wasser könnte niemand auf der Erde leben.,"[[35, 39, 'LOC']]"
Sie sang ein japanisches Lied für uns.,"[[13, 24, 'LOC']]"
Wird die Sonne morgen scheinen?,"[[9, 14, 'LOC']]"
Rosa Montero ist eine außergewöhnliche Frau.,"[[0, 12, 'PER']]"
Spanier haben zwei Nachnamen.,"[[0, 7, 'LOC']]"
Katzen spielen gerne in der Sonne.,"[[28, 33, 'LOC']]"
"Hallo, ich heiße Ken Saitou.","[[17, 27, 'PER']]"
Dieses Rezept wurde für euch vom besten Schlemmer-Team Rumäniens getestet.,"[[55, 64, 'LOC']]"
"Es handelt sich um eine Rede, die Jean Blubb letzten Monat in Stanford gehalten hat.","[[34, 44, 'PER'], [62, 70, 'LOC']]"
"Es handelt sich um eine Rede, die Jean Blubb letzten Monat in Stanford gehalten hat.","[[34, 44, 'PER'], [62, 70, 'LOC']]"
"Schlaf gut, Timmy.","[[12, 17, 'PER']]"
Die Vereinten Nationen sind eine internationale Organisation.,"[[4, 22, 'ORG']]"
Die Charta der Vereinten Nationen wurde 1945 unterzeichnet.,"[[15, 33, 'ORG']]"
Die Generalversammlung der Vereinten Nationen verabschiedete die Waffenstillstandsresolution.,"[[27, 45, 'ORG']]"
Unsere Mannschaft gewann 3 zu 0 gegen die Lions.,"[[42, 47, 'ORG']]"
Tom und ich haben keine Gemeinsamkeiten.,"[[0, 3, 'PER']]"
Japan ist ein Industrieland.,"[[0, 5, 'LOC']]"
Kein anderer Berg in Japan ist höher als der Berg Fuji.,"[[21, 26, 'LOC'], [45, 54, 'LOC']]"
Kein anderer Berg in Japan ist höher als der Berg Fuji.,"[[21, 26, 'LOC'], [45, 54, 'LOC']]"
Lincoln starb 1865.,"[[0, 7, 'PER']]"
Ken ist in Kyoto angekommen.,"[[0, 3, 'PER'], [11, 16, 'LOC']]"
Ken ist in Kyoto angekommen.,"[[0, 3, 'PER'], [11, 16, 'LOC']]"
Ich habe es für zwölf Dollar gekauft.,"[[22, 28, 'MISC']]"
Er spricht Spanisch genauso gut wie Französisch.,"[[11, 19, 'MISC'], [36, 47, 'MISC']]"
Er spricht Spanisch genauso gut wie Französisch.,"[[11, 19, 'MISC'], [36, 47, 'MISC']]"
„Wo wohnen Sie?“ – „Ich wohne in Tokyo.“,"[[1, 15, 'MISC'], [33, 38, 'LOC']]"
„Wo wohnen Sie?“ – „Ich wohne in Tokyo.“,"[[1, 15, 'MISC'], [33, 38, 'LOC']]"
"„Nein“, wiederholte der Engländer.","[[24, 33, 'LOC']]"
Er fuhr Ende Mai nach Paris.,"[[22, 27, 'LOC']]"
"Stimmt es, dass Midori so gut Geige spielt?","[[16, 22, 'PER']]"
Viele Japaner suchen am Neujahrstag den Shinto-Schrein auf.,"[[6, 13, 'LOC']]"
Viele Leute statten dem nächstgelegenen Shintoschrein zu Neujahr einen Besuch ab.,"[[40, 53, 'LOC']]"
Harajuku ist eines der belebtesten Viertel Tokyos.,"[[0, 8, 'LOC'], [43, 49, 'LOC']]"
Harajuku ist eines der belebtesten Viertel Tokyos.,"[[0, 8, 'LOC'], [43, 49, 'LOC']]"
Die Atombombe hat Hiroshima vollkommen zerstört.,"[[18, 27, 'LOC']]"
Der Drucker im Büro von Peter ist kaputt und druckt nicht mehr.,"[[24, 29, 'PER']]"
Gestern hat der Wecker nicht geklingelt und Kurt ist nicht aufgewacht.,"[[44, 48, 'PER']]"
Paris ist die Hauptstadt von Frankreich.,"[[0, 5, 'LOC'], [29, 39, 'LOC']]"
Paris ist die Hauptstadt von Frankreich.,"[[0, 5, 'LOC'], [29, 39, 'LOC']]"
Ottawa ist die Hauptstadt von Kanada.,"[[0, 6, 'LOC'], [30, 36, 'LOC']]"
Ottawa ist die Hauptstadt von Kanada.,"[[0, 6, 'LOC'], [30, 36, 'LOC']]"
London ist die Hauptstadt von England.,"[[0, 6, 'LOC'], [30, 37, 'LOC']]"
London ist die Hauptstadt von England.,"[[0, 6, 'LOC'], [30, 37, 'LOC']]"
Ich habe Tony geholfen.,"[[9, 13, 'PER']]"
"Er ist, um sich die Sehenswürdigkeiten anzusehen, nach Hawaii gegangen.","[[55, 61, 'LOC']]"
"Bevor wir nach Tokyo gekommen sind, haben wir zehn Jahre lang in Osaka gewohnt.","[[15, 20, 'LOC'], [65, 70, 'LOC']]"
"Bevor wir nach Tokyo gekommen sind, haben wir zehn Jahre lang in Osaka gewohnt.","[[15, 20, 'LOC'], [65, 70, 'LOC']]"
Was sind schon 100 Dollar wert?,"[[19, 25, 'MISC']]"
"Ich frage mich, wie lange ich mit 100 Dollar hinkommen werde.","[[38, 44, 'MISC']]"
Muss Tom diesen Brief heute noch schreiben?,"[[5, 8, 'PER']]"
Nächste Woche bin ich zur Arbeit in Tokyo.,"[[36, 41, 'LOC']]"
Der Direktor zeigt den deutschen Geschäftsleuten den Eiffelturm.,"[[23, 32, 'LOC']]"
"Herr Meier ist der Meinung, dass Neumanns im Urlaub sind.","[[5, 10, 'PER'], [33, 41, 'PER']]"
"Herr Meier ist der Meinung, dass Neumanns im Urlaub sind.","[[5, 10, 'PER'], [33, 41, 'PER']]"
"Peter sieht, dass das Garagentor offen ist.","[[0, 5, 'PER']]"
Er wollte an der Schule Englisch lehren.,"[[24, 32, 'MISC']]"
Ich bin Franzose.,"[[8, 16, 'LOC']]"
Bill kann schneller als Bob laufen.,"[[0, 4, 'PER'], [24, 27, 'PER']]"
Bill kann schneller als Bob laufen.,"[[0, 4, 'PER'], [24, 27, 'PER']]"
Ich gehe öfter nach Brüssel als nach Paris.,"[[20, 27, 'LOC'], [37, 42, 'LOC']]"
Ich gehe öfter nach Brüssel als nach Paris.,"[[20, 27, 'LOC'], [37, 42, 'LOC']]"
Tom spricht langsamer als Bill.,"[[0, 3, 'PER'], [26, 30, 'PER']]"
