sentence, entity type + position
De Rijn stroomt tussen Frankrijk en Duitsland.,"[[3, 7, 'LOC'], [23, 32, 'LOC'], [36, 45, 'LOC']]"
De Rijn stroomt tussen Frankrijk en Duitsland.,"[[3, 7, 'LOC'], [23, 32, 'LOC'], [36, 45, 'LOC']]"
"Tijdens de volkstelling zal ""Trasjanka"" gelijkgesteld worden aan Wit-Russisch.","[[29, 38, 'MISC'], [65, 77, 'MISC']]"
"Tijdens de volkstelling zal ""Trasjanka"" gelijkgesteld worden aan Wit-Russisch.","[[29, 38, 'MISC'], [65, 77, 'MISC']]"
Dit horloge is gemaakt in Zwitserland.,"[[26, 37, 'LOC']]"
Vind je Engels bijvoorbeeld mooi?,"[[8, 14, 'MISC']]"
Wilt u alstublieft een kamer in de buurt van de internationale luchthaven in Toronto reserveren?,"[[77, 84, 'LOC']]"
Ik ben naar Japan gekomen vanuit China.,"[[12, 17, 'LOC'], [33, 38, 'LOC']]"
Ik ben naar Japan gekomen vanuit China.,"[[12, 17, 'LOC'], [33, 38, 'LOC']]"
Ik ben geen aanhanger van de theorie dat je Latijn moet leren om Engels beter te begrijpen.,"[[44, 50, 'MISC'], [65, 71, 'MISC']]"
Ik ben geen aanhanger van de theorie dat je Latijn moet leren om Engels beter te begrijpen.,"[[44, 50, 'MISC'], [65, 71, 'MISC']]"
Ik heet Tanaka Itsjiro.,"[[8, 22, 'PER']]"
Rusland heeft te maken gekregen met ernstige financiële problemen.,"[[0, 7, 'LOC']]"
Frankrijk grenst aan Spanje.,"[[0, 9, 'LOC'], [21, 27, 'LOC']]"
Frankrijk grenst aan Spanje.,"[[0, 9, 'LOC'], [21, 27, 'LOC']]"
Vraag hem eens of hij Japans spreekt.,"[[22, 28, 'MISC']]"
China is het grootste land in Azië.,"[[0, 5, 'LOC'], [30, 34, 'LOC']]"
China is het grootste land in Azië.,"[[0, 5, 'LOC'], [30, 34, 'LOC']]"
Mexico was toen nog niet onafhankelijk van Spanje.,"[[0, 6, 'LOC'], [43, 49, 'LOC']]"
Mexico was toen nog niet onafhankelijk van Spanje.,"[[0, 6, 'LOC'], [43, 49, 'LOC']]"
"Dit is Millers nieuwste boek, en we hopen dat het niet het laatste zal zijn.","[[7, 14, 'MISC']]"
Deze traditie is ontstaan in China.,"[[29, 34, 'LOC']]"
Tom spreekt vloeiend Japans.,"[[0, 3, 'PER'], [21, 27, 'MISC']]"
Tom spreekt vloeiend Japans.,"[[0, 3, 'PER'], [21, 27, 'MISC']]"
Ierland staat bekend om zijn kant.,"[[0, 7, 'LOC']]"
Ik heb nog een vriend in China.,"[[25, 30, 'LOC']]"
Mike heeft een aantal vrienden in Florida.,"[[0, 4, 'PER'], [34, 41, 'LOC']]"
Mike heeft een aantal vrienden in Florida.,"[[0, 4, 'PER'], [34, 41, 'LOC']]"
Zwitserland is een mooi land.,"[[0, 11, 'LOC']]"
Frankrijk ligt in West-Europa.,"[[0, 9, 'LOC'], [18, 29, 'LOC']]"
Frankrijk ligt in West-Europa.,"[[0, 9, 'LOC'], [18, 29, 'LOC']]"
Ik heb hem ontmoet toen ik in Parijs was.,"[[30, 36, 'LOC']]"
Joko heeft gisteren boodschappen gedaan.,"[[0, 4, 'PER']]"
Canada heeft een koud klimaat.,"[[0, 6, 'LOC']]"
China is veel groter dan Japan.,"[[0, 5, 'LOC'], [25, 30, 'LOC']]"
China is veel groter dan Japan.,"[[0, 5, 'LOC'], [25, 30, 'LOC']]"
Dit is wat ik gekocht heb in Spanje.,"[[29, 35, 'LOC']]"
In China leert men ook Engels.,"[[3, 8, 'LOC'], [23, 29, 'MISC']]"
In China leert men ook Engels.,"[[3, 8, 'LOC'], [23, 29, 'MISC']]"
Japans spreken is makkelijk voor mij.,"[[0, 6, 'MISC']]"
"Ik heet Tamako, en jij?","[[8, 14, 'PER']]"
"Mary ziet er niet zo erg vriendelijk uit, maar ze heeft het hart op de juiste plaats.","[[0, 4, 'PER']]"
Michael Jackson is niet meer.,"[[0, 15, 'PER']]"
Gisteren is mijn zus naar Kobe gegaan.,"[[26, 30, 'LOC']]"
"Nikolai Aleksejevitsj, ik moet eens ernstig met u spreken.","[[0, 21, 'PER']]"
"Het is goed dat ik vertrek, zei ze tegen Goerov. ""Dat is ons lot.""","[[41, 47, 'PER']]"
Ik spreek geen Japans.,"[[15, 21, 'MISC']]"
Zo goed spreek ik geen Frans.,"[[23, 28, 'MISC']]"
Welkom in Japan.,"[[10, 15, 'LOC']]"
Naar het Hiltonhotel alstublieft.,"[[9, 20, 'MISC']]"
Ik kom uit Singapore.,"[[11, 20, 'LOC']]"
Ik heet Andrea.,"[[8, 14, 'PER']]"
"Gefeliciteerd met je verjaardag, Muiriel!","[[33, 40, 'PER']]"
"Engels is niet makkelijk, maar wel interessant.","[[0, 6, 'MISC']]"
Kun je me helpen deze zinnen in het Chinees te vertalen?,"[[36, 43, 'MISC']]"
Morgen is het Kerstmis.,"[[14, 22, 'MISC']]"
Ik kan nog steeds niet goed Chinees schrijven.,"[[28, 35, 'MISC']]"
Sandra neemt een boterham en een kop koffie als ontbijt.,"[[0, 6, 'PER']]"
Tom houdt niet van kaas.,"[[0, 3, 'PER']]"
"Slaap lekker, Timmy.","[[14, 19, 'PER']]"
"Slaap zacht, Sean.","[[13, 17, 'PER']]"
Mike heeft zijn hond Spike genoemd.,"[[0, 4, 'PER'], [21, 26, 'PER']]"
Mike heeft zijn hond Spike genoemd.,"[[0, 4, 'PER'], [21, 26, 'PER']]"
Sasha had een enorme buil op zijn hoofd.,"[[0, 5, 'PER']]"
Dit boek verkocht goed in Japan.,"[[26, 31, 'LOC']]"
Ik hou van muziek en van Engels.,"[[25, 31, 'MISC']]"
"Wie is dat meisje? ""Dat is Keiko.""","[[27, 32, 'PER']]"
Mike speelt graag basketbal.,"[[0, 4, 'PER']]"
Veel buitenlanders komen naar Japan om Japans te leren.,"[[30, 35, 'LOC'], [39, 45, 'MISC']]"
Veel buitenlanders komen naar Japan om Japans te leren.,"[[30, 35, 'LOC'], [39, 45, 'MISC']]"
"De kleine Martin had een rustige kindertijd in Atlanta, Georgia.","[[10, 16, 'PER'], [47, 54, 'LOC'], [56, 63, 'LOC']]"
"De kleine Martin had een rustige kindertijd in Atlanta, Georgia.","[[10, 16, 'PER'], [47, 54, 'LOC'], [56, 63, 'LOC']]"
"De kleine Martin had een rustige kindertijd in Atlanta, Georgia.","[[10, 16, 'PER'], [47, 54, 'LOC'], [56, 63, 'LOC']]"
Tom stak de straat over.,"[[0, 3, 'PER']]"
"Als ze hier zonder man en zonder kennissen is, dacht Goerov, dan zou het geen kwaad kunnen om met haar kennis te maken.","[[53, 59, 'PER']]"
Mijn naam is Yamada.,"[[13, 19, 'PER']]"
"Ik had nooit gedacht dat ik op een dag het woord ""viagra"" zou opzoeken op Wikipedia.","[[74, 83, 'ORG']]"
"Ik heet Kyril, aangenaam kennis te maken.","[[8, 13, 'ORG']]"
Het schilderij is het werk van een Nederlandse meester.,"[[35, 46, 'MISC']]"
Aardappels zijn geïntroduceerd door de Nederlanders uit Jakarta.,"[[39, 51, 'MISC'], [56, 63, 'LOC']]"
Aardappels zijn geïntroduceerd door de Nederlanders uit Jakarta.,"[[39, 51, 'MISC'], [56, 63, 'LOC']]"
Nederlands is nauw verwant aan Duits.,"[[0, 10, 'MISC'], [31, 36, 'MISC']]"
Nederlands is nauw verwant aan Duits.,"[[0, 10, 'MISC'], [31, 36, 'MISC']]"
Russisch is erg moeilijk te leren.,"[[0, 8, 'MISC']]"
We hebben Russisch geleerd in plaats van Frans.,"[[10, 18, 'MISC'], [41, 46, 'MISC']]"
We hebben Russisch geleerd in plaats van Frans.,"[[10, 18, 'MISC'], [41, 46, 'MISC']]"
Hij kan het Russisch zowel spreken als schrijven.,"[[12, 20, 'MISC']]"
Hij spreekt perfect Russisch.,"[[20, 28, 'MISC']]"
Hij heeft snel Russisch verworven.,"[[15, 23, 'MISC']]"
Zij spreekt Russisch.,"[[12, 20, 'MISC']]"
Ik ken een man die goed Russisch spreekt.,"[[24, 32, 'MISC']]"
Hij spreekt ook Russisch.,"[[16, 24, 'MISC']]"
Hij is Russisch van geboorte.,"[[7, 15, 'MISC']]"
Een Fransman bijvoorbeeld kan misschien moeilijk lachen om een Russische grap.,"[[4, 12, 'MISC'], [63, 72, 'MISC']]"
Een Fransman bijvoorbeeld kan misschien moeilijk lachen om een Russische grap.,"[[4, 12, 'MISC'], [63, 72, 'MISC']]"
Chabarovsk is één van de grootste steden in het Verre Oosten van Rusland.,"[[0, 10, 'LOC'], [48, 60, 'LOC'], [65, 72, 'LOC']]"
Chabarovsk is één van de grootste steden in het Verre Oosten van Rusland.,"[[0, 10, 'LOC'], [48, 60, 'LOC'], [65, 72, 'LOC']]"
Chabarovsk is één van de grootste steden in het Verre Oosten van Rusland.,"[[0, 10, 'LOC'], [48, 60, 'LOC'], [65, 72, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 212, 'LOC'], [214, 223, 'LOC'], [227, 232, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 212, 'LOC'], [214, 223, 'LOC'], [227, 232, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 212, 'LOC'], [214, 223, 'LOC'], [227, 232, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 212, 'LOC'], [214, 223, 'LOC'], [227, 232, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 212, 'LOC'], [214, 223, 'LOC'], [227, 232, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 212, 'LOC'], [214, 223, 'LOC'], [227, 232, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 212, 'LOC'], [214, 223, 'LOC'], [227, 232, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 212, 'LOC'], [214, 223, 'LOC'], [227, 232, 'LOC']]"
Hij heeft een boek geschreven over China.,"[[35, 40, 'LOC']]"
"Plato is mijn vriend, maar de waarheid is mij meer waard.","[[0, 5, 'PER']]"
"Wanneer u terugkomt uit Amerika, ben ik al afgestudeerd.","[[24, 31, 'LOC']]"
Het schip vervoert grondstoffen vanuit Indonesië.,"[[39, 48, 'LOC']]"
Hij was in Frankrijk.,"[[11, 20, 'LOC']]"
Hij is in Frankrijk geweest.,"[[10, 19, 'LOC']]"
Ik woon in Japan.,"[[11, 16, 'LOC']]"
Bern is de hoofdstad van Zwitserland.,"[[0, 4, 'LOC'], [25, 36, 'LOC']]"
Bern is de hoofdstad van Zwitserland.,"[[0, 4, 'LOC'], [25, 36, 'LOC']]"
John heeft dit bedrijf verlaten en is zijn eigen zaak begonnen.,"[[0, 4, 'PER']]"
Veel Engelse woorden komen uit het Latijn.,"[[5, 12, 'MISC'], [35, 41, 'MISC']]"
Veel Engelse woorden komen uit het Latijn.,"[[5, 12, 'MISC'], [35, 41, 'MISC']]"
Er zijn weinig studenten die Latijn begrijpen.,"[[29, 35, 'MISC']]"
Zijn vaderland is Georgië.,"[[18, 25, 'LOC']]"
Zijn geboorteland is Georgië.,"[[21, 28, 'LOC']]"
Weinig studenten kunnen Latijn lezen.,"[[24, 30, 'MISC']]"
Spreken ze in Canada Engels?,"[[14, 27, 'MISC']]"
Ik heb gehoord over uw draagbare kopieerapparaat op de Tokyo-Office '97 Expo.,"[[55, 76, 'MISC']]"
Spreek je Engels?,"[[10, 16, 'MISC']]"
Spreekt u Engels?,"[[10, 16, 'MISC']]"
Spreken jullie Engels?,"[[15, 21, 'MISC']]"
Mijn naam is Wang.,"[[13, 17, 'PER']]"
Dit is Li Ying.,"[[7, 14, 'PER']]"
Voor hoelang bent u in Sjanghai?,"[[23, 31, 'LOC']]"
Hoelang ben je al in Sjanghai?,"[[21, 29, 'LOC']]"
"Iris, wat eet je meestal voor het ontbijt?","[[0, 4, 'ORG']]"
Ze heeft haar reis naar Mexico uitgesteld.,"[[24, 30, 'LOC']]"
De Chinese keuken is niet slechter dan de Franse.,"[[3, 10, 'MISC'], [42, 48, 'MISC']]"
De Chinese keuken is niet slechter dan de Franse.,"[[3, 10, 'MISC'], [42, 48, 'MISC']]"
Chinees eten is niet minder lekker dan Frans eten.,"[[0, 7, 'MISC'], [39, 44, 'MISC']]"
Chinees eten is niet minder lekker dan Frans eten.,"[[0, 7, 'MISC'], [39, 44, 'MISC']]"
Picasso is een beroemd kunstenaar.,"[[0, 7, 'PER']]"
De Katholieke Kerk is tegen echtscheiding.,"[[3, 18, 'ORG']]"
"Wie is dat? ""Dat is Jim.""","[[20, 23, 'PER']]"
Ann heeft een zwak voor chocolade.,"[[0, 3, 'PER']]"
"Kom op, Bill.","[[8, 12, 'PER']]"
Deze roman is vertaald uit het Engels.,"[[31, 37, 'MISC']]"
Gisteravond heeft Tom geen avondeten gegeten.,"[[18, 21, 'PER']]"
"Het oppervlak van een ballon is geen Euclidische ruimte, en volgt daarom niet de regels van de Euclidische meetkunde.","[[37, 48, 'MISC'], [95, 106, 'MISC']]"
"Het oppervlak van een ballon is geen Euclidische ruimte, en volgt daarom niet de regels van de Euclidische meetkunde.","[[37, 48, 'MISC'], [95, 106, 'MISC']]"
"Het is fantastisch om in Amerika te zijn, als je hier bent om geld te verdienen.","[[25, 32, 'LOC']]"
"Als ik je een spekje kon sturen, Trang, zou ik het doen.","[[33, 38, 'PER']]"
Ik zou graag naar Japan kunnen gaan.,"[[18, 23, 'LOC']]"
"Het is onvermijdelijk dat ik ooit een keer naar Frankrijk ga, ik weet alleen niet wanneer.","[[48, 57, 'LOC']]"
Mijn moeder spreekt niet zo erg goed Engels.,"[[37, 43, 'MISC']]"
"Kasjtanka rende heen en weer en vond haar baasje niet, en ondertussen werd het donker.","[[0, 9, 'PER']]"
Zelfs Japanners kunnen fouten maken wanneer ze Japans spreken.,"[[6, 15, 'MISC'], [47, 53, 'MISC']]"
Zelfs Japanners kunnen fouten maken wanneer ze Japans spreken.,"[[6, 15, 'MISC'], [47, 53, 'MISC']]"
Wat is de hoogste berg van Noord-Amerika?,"[[27, 40, 'LOC']]"
Midori heeft de meeste sinaasappels opgegeten.,"[[0, 6, 'PER']]"
Midori heeft de meeste sinaasappels gegeten.,"[[0, 6, 'PER']]"
Men zegt dat Amerikanen de hoeveelheid geld die iemand verdient beschouwen als een maatstaf van wat hij kan.,"[[13, 23, 'MISC']]"
"Oost, west, thuis best.","[[0, 4, 'LOC']]"
Alle wegen leiden naar Rome.,"[[23, 27, 'LOC']]"
"De mens wikt, God beschikt.","[[14, 17, 'PER']]"
"Het is best moeilijk om in 2, 3 jaar goed Frans te leren.","[[42, 47, 'MISC']]"
Ik heet Jack.,"[[8, 12, 'PER']]"
Dit woord komt uit het Grieks.,"[[23, 29, 'MISC']]"
"Boter, brood en groene kaas; wie dat niet zeggen kan, is geen oprechte Fries.","[[71, 76, 'MISC']]"
Ik weet niet wanneer Bob naar Japan gekomen is.,"[[21, 24, 'PER'], [30, 35, 'LOC']]"
Ik weet niet wanneer Bob naar Japan gekomen is.,"[[21, 24, 'PER'], [30, 35, 'LOC']]"
Magda trouwt met een Spanjaard.,"[[0, 5, 'PER'], [21, 30, 'MISC']]"
Magda trouwt met een Spanjaard.,"[[0, 5, 'PER'], [21, 30, 'MISC']]"
Maciek heeft in december het leven verloren.,"[[0, 6, 'PER']]"
Bob is mijn vriend.,"[[0, 3, 'PER']]"
Lucy heeft me drie dagen geleden bezocht.,"[[0, 4, 'PER']]"
"Als je Zwitserland zou strijken, zou het groter zijn dan Duitsland.","[[7, 18, 'LOC'], [57, 66, 'LOC']]"
"Als je Zwitserland zou strijken, zou het groter zijn dan Duitsland.","[[7, 18, 'LOC'], [57, 66, 'LOC']]"
Ik ben teruggegaan naar Japan.,"[[24, 29, 'LOC']]"
Verspreid het Esperanto!,"[[14, 23, 'MISC']]"
Hij zwerft al maanden door Europa.,"[[27, 33, 'LOC']]"
Het Engels heeft veel woorden uit het Frans overgenomen.,"[[4, 10, 'MISC'], [38, 43, 'MISC']]"
Het Engels heeft veel woorden uit het Frans overgenomen.,"[[4, 10, 'MISC'], [38, 43, 'MISC']]"
"Nee, Chinees is het beste.","[[5, 12, 'MISC']]"
Tony spreekt beter Engels dan ik.,"[[0, 4, 'PER'], [19, 25, 'MISC']]"
Tony spreekt beter Engels dan ik.,"[[0, 4, 'PER'], [19, 25, 'MISC']]"
"Ze zeggen dat Mary vorige week ziek was, maar nu ziet ze er goed uit.","[[14, 18, 'PER']]"
Waarom heeft hij in de Verenigde Staten gewoond?,"[[23, 39, 'LOC']]"
Ik zou liever alleen naar de bioscoop gaan dan samen met Bob.,"[[57, 61, 'ORG']]"
