sentence, entity type + position
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 158, 'LOC'], [167, 176, 'LOC'], [180, 186, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 158, 'LOC'], [167, 176, 'LOC'], [180, 186, 'LOC']]"
"Het merendeel van de mensen die met een vork eten, woont in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[60, 66, 'LOC'], [68, 81, 'LOC'], [85, 100, 'LOC'], [140, 146, 'LOC'], [152, 158, 'LOC'], [167, 176, 'LOC'], [180, 186, 'LOC']]"
Majoeko heeft vreemd gedroomd.,"[[0, 7, 'LOC']]"
Ons bedrijf is van plan een nieuwe chemische fabriek te bouwen in Rusland.,"[[66, 74, 'LOC']]"
Zijn vaderland is Duitsland.,"[[18, 28, 'LOC']]"
Duitsland grenst aan Nederland.,"[[0, 9, 'LOC'], [21, 30, 'LOC']]"
Duitsland grenst aan Nederland.,"[[0, 9, 'LOC'], [21, 30, 'LOC']]"
Teder legde hij zijn hand op haar schouder.,"[[0, 5, 'PER']]"
Mary sloot zichzelf op in haar kamer en deed alle ramen dicht.,"[[0, 4, 'PER']]"
Duitsland was ooit een bondgenoot van Italië.,"[[0, 9, 'LOC'], [38, 45, 'LOC']]"
Duitsland was ooit een bondgenoot van Italië.,"[[0, 9, 'LOC'], [38, 45, 'LOC']]"
"Hij heeft, geloof ik, in Spanje gewoond.","[[25, 31, 'LOC']]"
John weet niet wat hij verder moet doen.,"[[0, 4, 'PER']]"
Dit is Japan.,"[[7, 12, 'LOC']]"
In Wales hebben we een spreekwoord.,"[[3, 8, 'LOC']]"
In Wales hebben ze een spreekwoord.,"[[3, 8, 'LOC']]"
Zwitserland is een neutraal land.,"[[0, 11, 'LOC']]"
Het Latijn is een dode taal.,"[[4, 10, 'MISC']]"
Is dit in Zwitserland gemaakt?,"[[10, 21, 'LOC']]"
"In het noorden ligt Schotland, in het zuiden Engeland, in het westen Wales, en nog verder naar het westen Noord-Ierland.","[[20, 29, 'LOC'], [45, 53, 'LOC'], [69, 74, 'LOC'], [106, 120, 'LOC']]"
"In het noorden ligt Schotland, in het zuiden Engeland, in het westen Wales, en nog verder naar het westen Noord-Ierland.","[[20, 29, 'LOC'], [45, 53, 'LOC'], [69, 74, 'LOC'], [106, 120, 'LOC']]"
"In het noorden ligt Schotland, in het zuiden Engeland, in het westen Wales, en nog verder naar het westen Noord-Ierland.","[[20, 29, 'LOC'], [45, 53, 'LOC'], [69, 74, 'LOC'], [106, 120, 'LOC']]"
"In het noorden ligt Schotland, in het zuiden Engeland, in het westen Wales, en nog verder naar het westen Noord-Ierland.","[[20, 29, 'LOC'], [45, 53, 'LOC'], [69, 74, 'LOC'], [106, 120, 'LOC']]"
Kent u de hoofdstad van België?,"[[0, 4, 'LOC'], [24, 31, 'LOC']]"
Kent u de hoofdstad van België?,"[[0, 4, 'LOC'], [24, 31, 'LOC']]"
Kennen jullie de hoofdstad van België?,"[[31, 38, 'LOC']]"
Sawako wil naar Frankrijk.,"[[0, 6, 'PER'], [16, 26, 'LOC']]"
Sawako wil naar Frankrijk.,"[[0, 6, 'PER'], [16, 26, 'LOC']]"
Morgen gaat het sneeuwen.,"[[0, 6, 'LOC']]"
Tanabata wordt gevierd in juli.,"[[0, 8, 'PER']]"
Deze roman is geschreven door een bekende Amerikaanse schrijver.,"[[42, 53, 'MISC']]"
Bill is in Japan geweest.,"[[0, 4, 'PER'], [11, 16, 'LOC']]"
Bill is in Japan geweest.,"[[0, 4, 'PER'], [11, 16, 'LOC']]"
Hij is naar Zwitserland gegaan.,"[[12, 23, 'LOC']]"
Canada is groter dan Japan.,"[[0, 6, 'LOC'], [21, 26, 'LOC']]"
Canada is groter dan Japan.,"[[0, 6, 'LOC'], [21, 26, 'LOC']]"
Napoleon heeft zijn leger naar Rusland geleid.,"[[0, 8, 'PER'], [31, 38, 'LOC']]"
Napoleon heeft zijn leger naar Rusland geleid.,"[[0, 8, 'PER'], [31, 38, 'LOC']]"
De Rijn stroomt tussen Frankrijk en Duitsland.,"[[3, 7, 'LOC'], [23, 32, 'LOC'], [36, 46, 'LOC']]"
De Rijn stroomt tussen Frankrijk en Duitsland.,"[[3, 7, 'LOC'], [23, 32, 'LOC'], [36, 46, 'LOC']]"
De Rijn stroomt tussen Frankrijk en Duitsland.,"[[3, 7, 'LOC'], [23, 32, 'LOC'], [36, 46, 'LOC']]"
"Tijdens de volkstelling zal ""Trasjanka"" gelijkgesteld worden aan Wit-Russisch.","[[65, 78, 'MISC']]"
Dit horloge is gemaakt in Zwitserland.,"[[26, 38, 'LOC']]"
Vind je Engels bijvoorbeeld mooi?,"[[0, 7, 'MISC'], [8, 14, 'MISC']]"
Vind je Engels bijvoorbeeld mooi?,"[[0, 7, 'MISC'], [8, 14, 'MISC']]"
Wilt u alstublieft een kamer in de buurt van de internationale luchthaven in Toronto reserveren?,"[[0, 4, 'LOC'], [77, 84, 'LOC']]"
Wilt u alstublieft een kamer in de buurt van de internationale luchthaven in Toronto reserveren?,"[[0, 4, 'LOC'], [77, 84, 'LOC']]"
Ik ben naar Japan gekomen vanuit China.,"[[12, 17, 'LOC'], [33, 39, 'LOC']]"
Ik ben naar Japan gekomen vanuit China.,"[[12, 17, 'LOC'], [33, 39, 'LOC']]"
Ik ben geen aanhanger van de theorie dat je Latijn moet leren om Engels beter te begrijpen.,"[[44, 50, 'MISC'], [65, 71, 'MISC']]"
Ik ben geen aanhanger van de theorie dat je Latijn moet leren om Engels beter te begrijpen.,"[[44, 50, 'MISC'], [65, 71, 'MISC']]"
Ik heet Tanaka Itsjiro.,"[[8, 23, 'PER']]"
Rusland heeft te maken gekregen met ernstige financiële problemen.,"[[0, 7, 'LOC']]"
"Lees elke dag de krant, want anders bent u niet op de hoogte van het laatste nieuws.","[[0, 4, 'PER']]"
Aha! zullen ze zeggen.,"[[0, 4, 'ORG']]"
Frankrijk grenst aan Spanje.,"[[0, 9, 'LOC'], [21, 28, 'LOC']]"
Frankrijk grenst aan Spanje.,"[[0, 9, 'LOC'], [21, 28, 'LOC']]"
Vraag hem eens of hij Japans spreekt.,"[[22, 28, 'LOC']]"
China is het grootste land in Azië.,"[[0, 5, 'LOC'], [30, 35, 'LOC']]"
China is het grootste land in Azië.,"[[0, 5, 'LOC'], [30, 35, 'LOC']]"
Mexico was toen nog niet onafhankelijk van Spanje.,"[[0, 6, 'LOC'], [43, 50, 'LOC']]"
Mexico was toen nog niet onafhankelijk van Spanje.,"[[0, 6, 'LOC'], [43, 50, 'LOC']]"
"Dit is Millers nieuwste boek, en we hopen dat het niet het laatste zal zijn.","[[7, 14, 'PER']]"
Deze traditie is ontstaan in China.,"[[29, 35, 'LOC']]"
Tom spreekt vloeiend Japans.,"[[0, 3, 'PER']]"
Ierland staat bekend om zijn kant.,"[[0, 7, 'LOC']]"
Ik heb nog een vriend in China.,"[[25, 31, 'LOC']]"
Mike heeft een aantal vrienden in Florida.,"[[0, 4, 'PER'], [34, 42, 'LOC']]"
Mike heeft een aantal vrienden in Florida.,"[[0, 4, 'PER'], [34, 42, 'LOC']]"
Zwitserland is een mooi land.,"[[0, 11, 'LOC']]"
Frankrijk ligt in West-Europa.,"[[0, 9, 'LOC'], [18, 30, 'LOC']]"
Frankrijk ligt in West-Europa.,"[[0, 9, 'LOC'], [18, 30, 'LOC']]"
Ik heb hem ontmoet toen ik in Parijs was.,"[[30, 36, 'LOC']]"
Joko heeft gisteren boodschappen gedaan.,"[[0, 4, 'LOC']]"
Canada heeft een koud klimaat.,"[[0, 6, 'LOC']]"
China is veel groter dan Japan.,"[[0, 5, 'LOC'], [25, 30, 'LOC']]"
China is veel groter dan Japan.,"[[0, 5, 'LOC'], [25, 30, 'LOC']]"
Dit is wat ik gekocht heb in Spanje.,"[[29, 36, 'LOC']]"
In China leert men ook Engels.,"[[3, 8, 'LOC'], [23, 30, 'PER']]"
In China leert men ook Engels.,"[[3, 8, 'LOC'], [23, 30, 'PER']]"
Japans spreken is makkelijk voor mij.,"[[0, 6, 'LOC']]"
"Ik heet Tamako, en jij?","[[8, 14, 'LOC']]"
"Mary ziet er niet zo erg vriendelijk uit, maar ze heeft het hart op de juiste plaats.","[[0, 4, 'PER']]"
Michael Jackson is niet meer.,"[[0, 15, 'PER']]"
Schiet op!,"[[0, 10, 'MISC']]"
Gisteren is mijn zus naar Kobe gegaan.,"[[0, 8, 'PER'], [26, 30, 'LOC']]"
Gisteren is mijn zus naar Kobe gegaan.,"[[0, 8, 'PER'], [26, 30, 'LOC']]"
"Nikolai Aleksejevitsj, ik moet eens ernstig met u spreken.","[[0, 21, 'PER']]"
"De vorige persoon aan wie ik mijn idee vertelde, dacht dat ik gestoord was.","[[59, 70, 'PER']]"
Jemig! M'n computer is alweer vastgelopen!,"[[0, 10, 'MISC']]"
"Het is goed dat ik vertrek, zei ze tegen Goerov. ""Dat is ons lot.""","[[41, 48, 'PER']]"
Ik spreek geen Japans.,"[[15, 22, 'LOC']]"
Zo goed spreek ik geen Frans.,"[[23, 29, 'PER']]"
Gisteren was het donderdag.,"[[0, 8, 'PER']]"
Onvoorzichtigheid is de grootste vijand.,"[[0, 17, 'LOC']]"
Welkom in Japan.,"[[10, 15, 'LOC']]"
Papa heeft boeken voor me gekocht.,"[[0, 4, 'PER']]"
Hoelang doet de vliegveldbus erover naar het vliegveld?,"[[0, 7, 'PER']]"
Naar het Hiltonhotel alstublieft.,"[[9, 20, 'MISC']]"
Ik kom uit Singapore.,"[[11, 21, 'LOC']]"
Ik heet Andrea.,"[[8, 15, 'LOC']]"
"Gefeliciteerd met je verjaardag, Muiriel!","[[33, 41, 'PER']]"
Schrijf alsjeblieft gauw terug.,"[[0, 7, 'PER']]"
Sorry. Ik neem mijn woorden terug.,"[[0, 6, 'PER']]"
Neem uw kinderen mee.,"[[0, 4, 'PER']]"
Herinner je je mij nog?,"[[0, 8, 'PER']]"
Breng hem naar binnen.,"[[0, 5, 'PER']]"
Bemoei je niet met mijn zaken.,"[[0, 6, 'MISC']]"
"Engels is niet makkelijk, maar wel interessant.","[[0, 6, 'MISC']]"
Kun je me helpen deze zinnen in het Chinees te vertalen?,"[[36, 43, 'MISC']]"
Morgen is het Kerstmis.,"[[0, 6, 'LOC'], [14, 23, 'LOC']]"
Morgen is het Kerstmis.,"[[0, 6, 'LOC'], [14, 23, 'LOC']]"
Kom snel!,"[[0, 9, 'MISC']]"
Ik kan nog steeds niet goed Chinees schrijven.,"[[28, 35, 'MISC']]"
Sandra neemt een boterham en een kop koffie als ontbijt.,"[[0, 6, 'LOC']]"
Tom houdt niet van kaas.,"[[0, 3, 'PER']]"
Moeder heeft boterhammen met kaas voor ons klaargemaakt voor het middageten.,"[[0, 6, 'PER']]"
"Slaap lekker, Timmy.","[[0, 5, 'LOC'], [14, 20, 'PER']]"
"Slaap lekker, Timmy.","[[0, 5, 'LOC'], [14, 20, 'PER']]"
"Slaap zacht, Sean.","[[0, 5, 'LOC'], [13, 18, 'PER']]"
"Slaap zacht, Sean.","[[0, 5, 'LOC'], [13, 18, 'PER']]"
Lees het nog een keer.,"[[0, 4, 'PER']]"
Lees wat je wilt.,"[[0, 4, 'PER']]"
Mama heeft de tafel gedekt.,"[[0, 4, 'PER']]"
Mike heeft zijn hond Spike genoemd.,"[[0, 4, 'PER'], [21, 26, 'PER']]"
Mike heeft zijn hond Spike genoemd.,"[[0, 4, 'PER'], [21, 26, 'PER']]"
"Zoiets heb ik nog nooit in mijn leven gezien, niet één keer!","[[0, 6, 'PER']]"
Kom nooit meer aan dat flesje!,"[[0, 3, 'PER']]"
Sasha had een enorme buil op zijn hoofd.,"[[0, 5, 'PER']]"
Dit boek verkocht goed in Japan.,"[[26, 31, 'LOC']]"
Ik hou van muziek en van Engels.,"[[25, 32, 'PER']]"
Leven is wat er met je gebeurt terwijl je bezig bent met andere dingen.,"[[0, 5, 'LOC']]"
"Wie is dat meisje? ""Dat is Keiko.""","[[27, 33, 'PER']]"
Helaas is het waar.,"[[0, 6, 'LOC']]"
Mike speelt graag basketbal.,"[[0, 4, 'PER']]"
Veel buitenlanders komen naar Japan om Japans te leren.,"[[30, 35, 'LOC'], [39, 45, 'LOC']]"
Veel buitenlanders komen naar Japan om Japans te leren.,"[[30, 35, 'LOC'], [39, 45, 'LOC']]"
Jammer dat ik niet hoef af te vallen.,"[[0, 6, 'PER']]"
"De kleine Martin had een rustige kindertijd in Atlanta, Georgia.","[[10, 16, 'PER'], [47, 54, 'LOC']]"
"De kleine Martin had een rustige kindertijd in Atlanta, Georgia.","[[10, 16, 'PER'], [47, 54, 'LOC']]"
Gefeliciteerd.,"[[0, 14, 'PER']]"
Bedoel je dat je met opzet je schoonheid verbergt?,"[[0, 6, 'PER']]"
"Als ze hier zonder man en zonder kennissen is, dacht Goerov, dan zou het geen kwaad kunnen om met haar kennis te maken.","[[53, 59, 'PER']]"
Echt?,"[[0, 5, 'LOC']]"
Mijn naam is Yamada.,"[[13, 19, 'LOC']]"
"Ik had nooit gedacht dat ik op een dag het woord ""viagra"" zou opzoeken op Wikipedia.","[[74, 84, 'PER']]"
Het schilderij is het werk van een Nederlandse meester.,"[[35, 46, 'MISC']]"
Aardappels zijn geïntroduceerd door de Nederlanders uit Jakarta.,"[[39, 51, 'LOC'], [56, 64, 'LOC']]"
Aardappels zijn geïntroduceerd door de Nederlanders uit Jakarta.,"[[39, 51, 'LOC'], [56, 64, 'LOC']]"
Nederlands is nauw verwant aan Duits.,"[[0, 10, 'MISC'], [31, 37, 'LOC']]"
Nederlands is nauw verwant aan Duits.,"[[0, 10, 'MISC'], [31, 37, 'LOC']]"
Russisch is erg moeilijk te leren.,"[[0, 8, 'MISC']]"
We hebben Russisch geleerd in plaats van Frans.,"[[10, 18, 'MISC'], [41, 47, 'LOC']]"
We hebben Russisch geleerd in plaats van Frans.,"[[10, 18, 'MISC'], [41, 47, 'LOC']]"
Hij kan het Russisch zowel spreken als schrijven.,"[[12, 20, 'MISC']]"
Hij spreekt perfect Russisch.,"[[20, 29, 'MISC']]"
Hij heeft snel Russisch verworven.,"[[15, 23, 'MISC']]"
Zij spreekt Russisch.,"[[12, 21, 'MISC']]"
Ik ken een man die goed Russisch spreekt.,"[[24, 32, 'MISC']]"
Hij spreekt ook Russisch.,"[[16, 25, 'MISC']]"
Hij is Russisch van geboorte.,"[[7, 15, 'MISC']]"
Een Fransman bijvoorbeeld kan misschien moeilijk lachen om een Russische grap.,"[[4, 12, 'LOC'], [63, 72, 'MISC']]"
Een Fransman bijvoorbeeld kan misschien moeilijk lachen om een Russische grap.,"[[4, 12, 'LOC'], [63, 72, 'MISC']]"
Chabarovsk is één van de grootste steden in het Verre Oosten van Rusland.,"[[0, 10, 'LOC'], [48, 60, 'LOC'], [65, 73, 'LOC']]"
Chabarovsk is één van de grootste steden in het Verre Oosten van Rusland.,"[[0, 10, 'LOC'], [48, 60, 'LOC'], [65, 73, 'LOC']]"
Chabarovsk is één van de grootste steden in het Verre Oosten van Rusland.,"[[0, 10, 'LOC'], [48, 60, 'LOC'], [65, 73, 'LOC']]"
"Honden kunnen niet praten, maar het leek alsof de ogen van het hondje zeiden: ""Nee, ik heb geen thuis.""","[[0, 6, 'LOC']]"
Latijn is een taal met sterke flexie.,"[[0, 6, 'MISC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 205, 'LOC'], [214, 223, 'LOC'], [227, 233, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 205, 'LOC'], [214, 223, 'LOC'], [227, 233, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 205, 'LOC'], [214, 223, 'LOC'], [227, 233, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 205, 'LOC'], [214, 223, 'LOC'], [227, 233, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 205, 'LOC'], [214, 223, 'LOC'], [227, 233, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 205, 'LOC'], [214, 223, 'LOC'], [227, 233, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 205, 'LOC'], [214, 223, 'LOC'], [227, 233, 'LOC']]"
"Mensen die met een vork eten, wonen voornamelijk in Europa, Noord-Amerika en Latijns-Amerika; mensen die met stokjes eten, wonen in Oost-Azië, en mensen die met hun vingers eten wonen in Afrika, het Nabije Oosten, Indonesië en India.","[[52, 58, 'LOC'], [60, 73, 'LOC'], [77, 92, 'LOC'], [132, 141, 'LOC'], [187, 193, 'LOC'], [199, 205, 'LOC'], [214, 223, 'LOC'], [227, 233, 'LOC']]"
Hij heeft een boek geschreven over China.,"[[35, 41, 'LOC']]"
"Plato is mijn vriend, maar de waarheid is mij meer waard.","[[0, 5, 'PER']]"
"Wanneer u terugkomt uit Amerika, ben ik al afgestudeerd.","[[24, 31, 'LOC']]"
Iedereen in het dorp kende hem.,"[[27, 31, 'LOC']]"
Het schip vervoert grondstoffen vanuit Indonesië.,"[[39, 48, 'LOC']]"
Hij was in Frankrijk.,"[[11, 21, 'LOC']]"
Hij is in Frankrijk geweest.,"[[10, 19, 'LOC']]"
Ik woon in Japan.,"[[11, 16, 'LOC']]"
Bern is de hoofdstad van Zwitserland.,"[[0, 4, 'LOC'], [25, 37, 'LOC']]"
Bern is de hoofdstad van Zwitserland.,"[[0, 4, 'LOC'], [25, 37, 'LOC']]"
John heeft dit bedrijf verlaten en is zijn eigen zaak begonnen.,"[[0, 4, 'PER']]"
Veel Engelse woorden komen uit het Latijn.,"[[5, 12, 'MISC'], [35, 41, 'MISC']]"
Veel Engelse woorden komen uit het Latijn.,"[[5, 12, 'MISC'], [35, 41, 'MISC']]"
Er zijn weinig studenten die Latijn begrijpen.,"[[29, 35, 'MISC']]"
Zijn vaderland is Georgië.,"[[18, 26, 'LOC']]"
Zijn geboorteland is Georgië.,"[[21, 29, 'LOC']]"
Weinig studenten kunnen Latijn lezen.,"[[24, 30, 'MISC']]"
Spreken ze in Canada Engels?,"[[14, 20, 'LOC']]"
Ik heb gehoord over uw draagbare kopieerapparaat op de Tokyo-Office '97 Expo.,"[[55, 67, 'MISC']]"
Kun je iets beters bedenken?,"[[0, 3, 'PER']]"
Eet waar je zin in hebt.,"[[19, 24, 'LOC']]"
"IJdelheid der ijdelheden, alles is ijdelheid.","[[0, 9, 'LOC']]"
Spreek je Engels?,"[[0, 6, 'LOC'], [10, 17, 'MISC']]"
Spreek je Engels?,"[[0, 6, 'LOC'], [10, 17, 'MISC']]"
Spreekt u Engels?,"[[10, 17, 'MISC']]"
Mijn naam is Wang.,"[[13, 18, 'PER']]"
Dit is Li Ying.,"[[7, 15, 'PER']]"
Voor hoelang bent u in Sjanghai?,"[[23, 32, 'LOC']]"
Hoelang ben je al in Sjanghai?,"[[21, 30, 'LOC']]"
"Afgaand op hoe ze spraken, veronderstelde ik dat ze getrouwd waren.","[[0, 7, 'LOC']]"
Morgen moet het werk af zijn.,"[[0, 6, 'LOC']]"
Men moet niet dwingen te leren. Leren moet men aanmoedigen.,"[[32, 37, 'PER']]"
Ze heeft haar reis naar Mexico uitgesteld.,"[[24, 30, 'LOC']]"
De Chinese keuken is niet slechter dan de Franse.,"[[3, 10, 'MISC'], [42, 49, 'LOC']]"
De Chinese keuken is niet slechter dan de Franse.,"[[3, 10, 'MISC'], [42, 49, 'LOC']]"
Chinees eten is niet minder lekker dan Frans eten.,"[[0, 7, 'MISC'], [39, 44, 'MISC']]"
Chinees eten is niet minder lekker dan Frans eten.,"[[0, 7, 'MISC'], [39, 44, 'MISC']]"
Studeer je?,"[[0, 11, 'PER']]"
Picasso is een beroemd kunstenaar.,"[[0, 7, 'PER']]"
De Katholieke Kerk is tegen echtscheiding.,"[[3, 18, 'ORG']]"
"Wie is dat? ""Dat is Jim.""","[[20, 24, 'PER']]"
Ann heeft een zwak voor chocolade.,"[[0, 3, 'LOC']]"
Warmte is een vorm van energie.,"[[0, 6, 'MISC']]"
"Kom op, Bill.","[[8, 13, 'PER']]"
Zwart staat je goed.,"[[0, 5, 'MISC']]"
Deze roman is vertaald uit het Engels.,"[[31, 37, 'MISC']]"
Gisteravond heeft Tom geen avondeten gegeten.,"[[0, 11, 'PER'], [18, 21, 'PER']]"
Gisteravond heeft Tom geen avondeten gegeten.,"[[0, 11, 'PER'], [18, 21, 'PER']]"
"Het oppervlak van een ballon is geen Euclidische ruimte, en volgt daarom niet de regels van de Euclidische meetkunde.","[[37, 48, 'LOC'], [95, 117, 'ORG']]"
